#id1,id2,weight
South:0,PPLX,1
Silvertown:0,PPLX,1
Shooters,PPLX,1
Seven:0,PPLX,1
Kings:0,PPLX,1
Saint:0,PPLX,1
Pancras:0,PPLX,1
St:0,PPLX,1
John's:0,PPLX,1
Rotherhithe:1,PPLX,1
Roehampton:0,PPLX,1
Raynes:0,PPLX,1
Putney:1,PPLX,1
End:1,PPLX,1
Oxford:3,PPLX,1
Circus:3,PPLX,1
Notting:0,PPLX,1
North:2,PPLX,1
Greenwich:1,PPLX,1
Norbury:0,PPLX,1
New:1,PPLX,1
Malden:0,PPLX,1
Cross:0,PPLX,1
Barnet:5,PPLX,1
Neasden:0,PPLX,1
Millwall,PPLX,1
Marylebone:2,PPLX,1
Maida:1,PPLX,1
Vale:1,PPLX,1
Lower:1,PPLX,1
Street:7,PPLX,1
Limehouse:0,PPLX,1
Lewisham:0,PPLX,1
Hoxton:0,PPLX,1
Road:2,PPLX,1
High:4,PPLX,1
Herne:1,PPLX,1
Haringey:0,PPLX,1
Hampstead:3,PPLX,1
Hackney:2,PPLX,1
Forest:0,PPLX,1
Finchley:1,PPLX,1
Edmonton:2,PPLX,1
East:2,PPLX,1
Court:1,PPLX,1
Earls:0,PPLX,1
Covent:0,PPLX,1
Garden:0,PPLX,1
Cockfosters:0,PPLX,1
Clapham:0,PPLX,1
Chiswick:0,PPLX,1
Chelsea:0,PPLX,1
Charing:1,PPLX,1
Bushey:1,PPLX,1
Brent:1,PPLX,1
Bow:0,PPLX,1
Bloomsbury:0,PPLX,1
Blackwall:1,PPLX,1
Bermondsey:1,PPLX,1
Beckton:0,PPLX,1
Barnes:4,PPLX,1
Barkingside:0,PPLX,1
Lambeth:3,PPLX,1
Cottage:1,PPLX,1
Middlesex:2,PPLX,1
Chadwell:1,PPLX,1
Oak:1,PPLX,1
Gate:1,PPLX,1
Bayswater:1,PPLX,1
Belgravia:1,PPLX,1
Fitzrovia:1,PPLX,1
Queens:1,PPLX,1
Village:2,PPLX,1
Canary:1,PPLX,1
Wharf:1,PPLX,1
Soho:1,PPLX,1
Oakwood:1,PPLX,1
Oval:1,PPLX,1
Pimlico:0,PPLX,1
Bank:0,PPLX,1
Peckham:3,PPLX,1
James's:0,PPLX,1
Brook:0,PPLX,1
Holland:0,PPLX,1
Old:0,PPLX,1
Bailey,PPLX,1
Swiss:1,PPLX,1
Battersea:1,PPLX,1
Crouch:0,PPLX,1
Kilburn:0,PPLX,1
Barbican:0,PPLX,1
Castelnau,PPLX,1
Ridgeway,PPLX,1
Stockwell:0,PPLX,1
Tooting:0,PPLX,1
Hainault:0,PPLX,1
Becontree:0,PPLX,1
Brixton:0,PPLX,1
Bethnal:0,PPLX,1
Mile:0,PPLX,1
Baker:0,PPLX,1
Leytonstone:0,PPLX,1
Dalston:0,PPLX,1
Brockley:0,PPLX,1
Honor:0,PPLX,1
Southfields:0,PPLX,1
Nunhead:0,PPLX,1
Wapping:0,PPLX,1
Penge:0,PPLX,1
Kensal:0,PPLX,1
Surrey:0,PPLX,1
Quays:0,PPLX,1
Kent:1,PPLX,1
Kingsland:1,PPLX,1
Gunnersbury:2,PPLX,1
Highams:1,PPLX,1
Stamford:3,PPLX,1
Hale:2,PPLX,1
Embankment:1,PPLX,1
Plaistow:1,PPLX,1
Brick:1,PPLX,1
Sands,PPLX,1
Higham,PPLX,1
Mead,PPLX,1
Fleet,PPLX,1
Park:2,RSTN,1
Woolwich:3,RSTN,1
Wood:2,RSTN,1
Green:6,RSTN,1
Winchmore:1,RSTN,1
Hill:1,RSTN,1
Wimbledon:4,RSTN,1
Common:1,RSTN,1
Willesden:3,RSTN,1
West:0,RSTN,1
Norwood:0,RSTN,1
Railway:0,RSTN,1
Station:0,RSTN,1
City:7,RSTN,1
Kensington:7,RSTN,1
Underground:2,RSTN,1
Ham:3,RSTN,1
Dulwich:1,RSTN,1
Brompton:2,RSTN,1
Wembley:1,RSTN,1
Welling:1,RSTN,1
Wealdstone:1,RSTN,1
Waterloo:0,RSTN,1
Wanstead:1,RSTN,1
Wandsworth:4,RSTN,1
Walthamstow:1,RSTN,1
London:0,RSTN,1
Victoria:0,RSTN,1
station,RSTN,1
Upton:0,RSTN,1
Upper:1,RSTN,1
Holloway:0,RSTN,1
Clapton:2,RSTN,1
Twickenham:4,RSTN,1
Bridge:1,RSTN,1
Tottenham:2,RSTN,1
Thornton:1,RSTN,1
Heath:4,RSTN,1
Teddington:3,RSTN,1
Syon:0,RSTN,1
Lane:0,RSTN,1
Sydenham:0,RSTN,1
Sudbury:1,RSTN,1
Streatham:1,RSTN,1
Strawberry:1,RSTN,1
Stratford:3,RSTN,1
Grove:1,RSTN,1
Stoke:1,RSTN,1
Newington:1,RSTN,1
South:5,RSTN,1
Southgate:1,RSTN,1
Sidcup:2,RSTN,1
Shoreditch:2,RSTN,1
Bush:3,RSTN,1
Seven:1,RSTN,1
Kings:3,RSTN,1
Pancras:1,RSTN,1
St:5,RSTN,1
Rotherhithe:2,RSTN,1
Richmond:7,RSTN,1
Raynes:1,RSTN,1
Putney:4,RSTN,1
Dock:1,RSTN,1
Ponders:1,RSTN,1
End:3,RSTN,1
Plumstead:1,RSTN,1
Palmers:1,RSTN,1
Paddington:2,RSTN,1
North:1,RSTN,1
Greenwich:5,RSTN,1
Acton:1,RSTN,1
Norbury:1,RSTN,1
New:5,RSTN,1
Malden:2,RSTN,1
Cross:1,RSTN,1
Barnet:6,RSTN,1
Morden:2,RSTN,1
Mitcham:0,RSTN,1
Junction:0,RSTN,1
Mill:2,RSTN,1
Maze,RSTN,1
Marylebone:0,RSTN,1
Lower:0,RSTN,1
Liverpool:0,RSTN,1
Street:0,RSTN,1
Fields:1,RSTN,1
Limehouse:3,RSTN,1
Leyton:1,RSTN,1
Lewisham:3,RSTN,1
King's:0,RSTN,1
Kidbrooke:1,RSTN,1
Kew:3,RSTN,1
Gardens:4,RSTN,1
Kenton:2,RSTN,1
Islington:3,RSTN,1
Isleworth:1,RSTN,1
Ilford:2,RSTN,1
Hoxton:2,RSTN,1
Hornsey:1,RSTN,1
Road:5,RSTN,1
